LanguageName,Classification
Afrikaans,"IE, Germanic"
Akkadian,"Afro-Asiatic, Semitic"
Amharic,"Afro-Asiatic, Semitic"
Ancient Greek,"IE, Greek"
Arabic,"Afro-Asiatic, Semitic"
Armenian,"IE, Armenian"
Bambara,Mande
Basque,Basque
Belarusian,"IE, Slavic"
Breton,"IE, Celtic"
Bulgarian,"IE, Slavic"
Buryat,Mongolic
Cantonese,Sino-Tibetan
Catalan,"IE, Romance"
Chinese,Sino-Tibetan
Coptic,"Afro-Asiatic, Egyptian"
Croatian,"IE, Slavic"
Czech,"IE, Slavic"
Danish,"IE, Germanic"
Dutch,"IE, Germanic"
English,"IE, Germanic"
Erzya,"Uralic, Mordvin"
Estonian,"Uralic, Finnic"
Faroese,"IE, Germanic"
Finnish,"Uralic, Finnic"
French,"IE, Romance"
Galician,"IE, Romance"
German,"IE, Germanic"
Gothic,"IE, Germanic"
Greek,"IE, Greek"
Hebrew,"Afro-Asiatic, Semitic"
Hindi,"IE, Indic"
Hindi English,Code switching
Hungarian,"Uralic, Ugric"
Indonesian,"Austronesian, Malayo-Sumbawan"
Irish,"IE, Celtic"
Italian,"IE, Romance"
Japanese,Japanese
Kazakh,"Turkic, Northwestern"
Komi Zyrian,"Uralic, Permic"
Korean,Korean
Kurmanji,"IE, Iranian"
Latin,"IE, Latin"
Latvian,"IE, Baltic"
Lithuanian,"IE, Baltic"
Maltese,"Afro-Asiatic, Semitic"
Marathi,"IE, Indic"
Naija,Creole
North Sami,"Uralic, Sami"
Norwegian,"IE, Germanic"
Old Church Slavonic,"IE, Slavic"
Old French,"IE, Romance"
Persian,"IE, Iranian"
Polish,"IE, Slavic"
Portuguese,"IE, Romance"
Romanian,"IE, Romance"
Russian,"IE, Slavic"
Sanskrit,"IE, Indic"
Serbian,"IE, Slavic"
Slovak,"IE, Slavic"
Slovenian,"IE, Slavic"
Spanish,"IE, Romance"
Swedish,"IE, Germanic"
Swedish Sign Language,Sign Language
Tagalog,"Austronesian, Central Philippine"
Tamil,"Dravidian, Southern"
Telugu,"Dravidian, South Central"
Thai,Tai-Kadai
Turkish,"Turkic, Southwestern"
Ukrainian,"IE, Slavic"
Upper Sorbian,"IE, Slavic"
Urdu,"IE, Indic"
Uyghur,"Turkic, Southeastern"
Vietnamese,"Austro-Asiatic, Viet-Muong"
Warlpiri,Pama-Nyungan
Yoruba,"Niger-Congo, Defoid"
